day_sampling	vat	yeast_viability	budding_rate	budding_viability	floc	temp	rods
1	8	82.5	16.9	75	10	34.8	1.20E+07
1	9	81.1	9.9	70.3	10	35	1.60E+07
1	1	84.3	11.4	80.5	10	33	1.90E+07
1	2	85.5	11	78.9	10	33	2.00E+07
8	7	66.1	15.3	67.2	30	33.8	3.50E+07
8	8	69.1	19.3	70.6	30	34.5	3.40E+07
8	9	70.4	17.4	74.2	50	33.5	4.60E+07
8	1	64.9	17.8	78.3	40	34.8	3.90E+07
8	2	72	15.7	76.5	30	35	3.50E+07
13	7	75.1	11.6	70.4	10	33	1.70E+06
13	8	58.6	15.5	55.6	0	33	8.10E+05
13	1	59.5	17.6	56.7	0	33	8.10E+05
13	2	62.8	15.8	59	0	32.5	8.10E+05
13	3	63	15.9	62.5	0	32.8	7.10E+05
27	1	81.3	10.3	62.8	0	31	1.10E+06
27	2	85.7	9.3	74.6	0	32	1.10E+06
27	3	74	12.1	67.4	0	33	1.70E+06
27	4	78.6	10.5	64.3	0	33.8	1.10E+06
27	5	76.1	8.1	66.7	0	34	1.10E+06
38	4	72.9	10.1	57.4	0	31	1.10E+06
38	5	80.8	6.8	61.8	0	31	1.10E+06
38	6	82.9	9.2	62.5	0	31	8.10E+05
38	7	81.9	15.5	68.9	0	31	8.10E+05
51	5	63.5	9.7	63.6	0	32.6	8.10E+05
51	6	65.7	9.1	62.5	0	31.6	8.10E+05
51	7	67	9.6	62.9	0	32.2	1.10E+06
51	8	67.7	12.9	67.6	0	32.4	8.10E+05
65	2	69.6	16.3	68.9	10	32	4.60E+06
65	3	65.2	16.1	66.1	10	33	5.70E+06
65	4	65.7	8.9	55.3	0	NA	6.80E+06
65	5	60.7	14.1	60.8	0	NA	3.40E+06
65	6	57.7	14.5	60.8	0	NA	1.10E+07
65	7	53.9	13	52.5	0	NA	1.00E+07
65	8	60.9	15.6	66.2	0	NA	1.00E+07
65	9	63.3	14.9	68.3	0	NA	1.10E+07
77	9	65.7	7.4	53.3	25	32.5	5.70E+06
77	1	62.1	12.6	59.7	20	33	5.70E+06
77	2	63.7	8.5	54.3	20	32	5.10E+06
77	3	63	7.5	55.6	10	32.5	4.60E+06
77	4	65.3	8.7	53.2	0	32.3	3.40E+06
92	6	62.8	12.6	60	30	32.1	1.80E+07
92	7	64.3	11.4	56.6	20	33.9	1.60E+07
92	8	60.4	10.2	57.6	20	33.2	1.80E+07
92	9	69.6	13.2	58.7	15	34.1	1.40E+07
92	1	62.4	15.7	67.1	15	33.8	1.60E+07
107	8	62.2	13.4	64.1	0	33	5.70E+05
107	9	61	13.7	57.7	0	33.5	5.70E+05
107	1	61.1	13.6	67.3	0	32.2	5.70E+05
107	2	65.3	10.5	64.3	0	32.1	5.70E+05
107	3	61.5	10.3	61.9	0	32.3	5.70E+05
119	1	52.2	13.4	51.8	30	34.2	2.50E+07
119	2	54.5	10.1	59.5	30	33	2.20E+07
119	3	60.6	8.9	53.2	35	33	4.70E+07
119	4	66.1	11.3	61.8	45	33.2	8.20E+07
134	6	51.6	11.9	51.4	35	34	2.80E+06
134	7	52	11.4	51.5	30	35	2.80E+06
134	8	53	11.5	51.4	35	33.2	1.70E+06
134	9	51.9	10.5	52.8	30	34.2	1.70E+06
134	1	53.5	9.9	56.7	30	34	1.70E+06
150	3	72.4	10.4	66.6	0	32	2.80E+06
150	4	68.6	11.8	69.6	0	32	3.90E+06
150	5	62.5	9.9	53.6	0	32	4.50E+06
150	6	63	9.8	58.7	0	32	4.50E+06
150	7	69.4	10.9	61.6	0	34.8	2.80E+06
150	8	69.5	10.7	59.3	0	33.3	3.40E+06
163	3	73.6	9.6	62.9	0	36	8.10E+05
163	4	70.3	11.4	64.5	0	33.6	5.70E+05
163	5	70.1	8.9	54.5	0	34.6	5.70E+05
163	6	70.5	8.4	55	0	34.5	5.70E+05
163	7	70.7	10.5	60.3	0	35.5	5.70E+05
