year	month	day	date	day_count	solids_must	art_must	art_wine	brix_must	kacidity	kart	kglycerol	gl_vat	ph_must	ph_wine	out	yield	temperature
2019	4	24	24/4/19	-5	0.24	17.11	0.73	20.83	0.011	0.125	0.048	7.37	5.89	4.86	1881115	94.24	32.21
2019	5	1	1/5/19	2	0.44	19.41	0.34	24.56	0.028	0.057	0.034	7.82	5.85	4.79	2743601	75.01	32.68
2019	5	8	8/5/19	9	0.33	18.43	0.73	23.4	0.076	0.127	0.016	7.47	5.84	4.46	3116353	79.05	32.95
2019	5	15	15/5/19	16	0.47	16.58	0.7	21.94	0.015	0.124	0.031	7.27	5.52	4.82	2563677	83.69	32.85
2019	5	22	22/5/19	23	0.62	15.52	0.44	20.05	0.047	0.089	0.029	6.98	5.42	4.82	1731440	90.62	32.44
2019	5	29	29/5/19	30	0.33	16.74	0.48	21.8	0.019	0.083	0.03	7.42	5.59	4.8	3119662	84.60	32.53
2019	6	5	5/6/19	37	0.55	17.11	0.4	22.22	0.064	0.072	0.033	7.44	5.47	4.53	2026987	76.39	32.51
2019	6	12	12/6/19	44	0.61	15.23	0.33	20.12	0.012	0.067	0.023	6.57	4.98	4.71	2491327	91.91	32.58
2019	6	19	19/6/19	51	0.41	17.03	0.42	22.71	0.018	0.071	0.033	7.55	5.24	4.9	3321976	93.52	32.7
2019	6	26	26/6/19	58	0.41	18.82	0.38	23.84	0.015	0.061	0.057	7.82	5.79	4.79	3443168	86.11	32.71
2019	7	3	3/7/19	65	0.46	19.19	0.47	25.03	0.012	0.073	0.063	8.2	5.55	4.91	3784580	83.38	32.76
2019	7	10	10/7/19	72	0.37	18.08	0.34	18.87	0.019	0.053	0.037	7.23	5.48	4.73	2209056	82.49	32.69
2019	7	17	17/7/19	79	0.44	18.85	0.41	23.41	0.006	0.064	0.04	8	6.22	4.82	3386884	83.81	32.68
2019	7	24	24/7/19	86	0.41	19.26	0.39	24.78	0.008	0.057	0.055	8.57	5.7	4.92	3600397	86.91	32.69
2019	7	31	31/7/19	93	0.25	17.03	0.37	22.36	0.002	0.06	0.049	7.83	5.53	4.84	3466820	89.30	32.7
2019	8	7	7/8/19	100	0.26	18.99	0.48	24.61	0.006	0.072	0.052	8.39	5.82	4.98	3699874	84.39	32.73
2019	8	14	14/8/19	107	0.28	18.33	0.35	23.29	0.003	0.056	0.047	8.08	5.89	4.97	3842806	82.70	32.95
2019	8	21	21/8/19	114	0.25	19.4	0.42	24.84	0.005	0.064	0.041	8.33	5.56	4.94	3991022	86.01	33.1
2019	8	28	28/8/19	121	0.29	18.57	0.28	23.51	0.011	0.04	0.046	8.94	5.76	4.82	3438547	86.22	32.99
2019	9	4	4/9/19	128	0.39	19.04	0.43	24.8	0.002	0.077	0.037	8	5.19	4.8	2472024	69.60	33.06
2019	9	11	11/9/19	135	1.43	19.04	0.37	23.65	0.018	0.059	0.038	8.13	5.36	4.79	3300987	85.57	32.89
2019	9	18	18/9/19	142	0.24	17.89	0.36	22.6	0.008	0.057	0.08	8.23	5.61	4.97	3525740	81.79	33.32
2019	9	25	25/9/19	149	0.17	18.71	0.63	24.43	0.018	0.092	0.046	8.58	5.53	4.88	3177803	81.32	33.81
2019	10	2	2/10/19	156	0.29	17.78	0.5	22.11	0.007	0.076	0.042	8.31	5.56	4.83	3204665	85.13	33.38
2019	10	9	9/10/19	163	0.19	16.94	0.51	22.24	0.016	0.089	0.031	7.18	5.68	4.83	3442901	83.60	33.87
2019	10	16	16/10/19	170	0.26	18.43	0.25	22.94	0.007	0.04	0.055	7.97	5.74	4.83	2729460	84.86	33.49
2019	10	23	23/10/19	177	0.18	17.96	0.32	22.7	0.019	0.053	0.053	7.84	5.95	4.83	3514336	86.46	33.77
2019	10	30	30/10/19	184	0.13	19.59	0.35	24.09	0.007	0.048	0.045	9.23	5.75	4.75	3886519	88.59	33.96
2019	11	6	6/11/19	191	0.24	18.53	0.6	23.08	0.024	0.09	0.04	8.45	5.66	4.56	3174600	98.66	33.69
2019	11	13	13/11/19	198	0.4	18.72	0.34	21.43	0.023	0.071	0.037	7.99	5.39	4.53	1752889	80.65	32.49
