read_sample	sample	day_sampling	site	year	Klebsiella	Salmonella	Aeromonas	Prevotella	Megasphaera	Leuconostoc	Pediococcus	Staphylococcus	Streptococcus	Bacillus	Lactobacillus	Streptomyces	Homo	Burkholderia	Stenotrophomonas	Caldicellulosiruptor	Weissella	Pseudoalteromonas	Geobacillus	Cellulosimicrobium	Komagataeibacter	Parageobacillus	Harbinvirus	Limosilactobacillus	Lacticaseibacillus	Lactiplantibacillus	Levilactobacillus	Liquorilactobacillus	Secundilactobacillus	Lentilactobacillus	Weizmannia	Hopescreekvirus
AKG1	UIR_2018_7	7	UIR	2018	1	0.06	0	0.01	0	0.51	0.01	0.39	6.56	12.53	0.47	0.02	0.06	0.03	0.01	0.01	0.12	0.01	0.33	12.45	0	0.44	0	1.4	0.03	0.02	0.01	0.01	0	0.07	1.3	0
AKG2	UIR_2018_21	21	UIR	2018	0.03	0.02	0	0	0	0.07	0.92	0.22	0.01	2.56	29.030001	0.01	0.06	0.01	0	0	0.16	0.01	0	0.71	0	0	0	36.939999	0.8	0.95	0.13	0.15	0.05	0.15	0	0
AKG3	UIR_2018_37	37	UIR	2018	0.09	0.06	0	0	0	0.04	0.52	0.43	0.09	7.37	8.61	0.01	0.12	0.01	0.01	0	0.06	0.06	0.02	7.61	0	0	0	22.73	0.43	0.45	0.07	0.05	0.03	0.05	0	0
AKG4	UIR_2018_67	67	UIR	2018	0.01	0.01	0	0	0	0.09	0.66	0.19	0.01	10.41	32.200001	0	0.32	0	0	0	0.34	0.01	0	3.52	0	0	0	1.06	0.59	0.36	0.02	0.14	0.04	0.16	0	0
AKG5	UIR_2018_97	97	UIR	2018	0.02	0.02	0	0	0	0.03	0.14	0.4	0.01	15.43	5.09	0.01	0.26	0	0	0.01	0.05	0	0	5.14	0	0	0	3.55	0.15	0.11	0.01	0.02	0.01	0.03	0	0
AKG6	UIR_2018_127	127	UIR	2018	0.05	0.01	0	0	0	0.16	1.1	0.12	0.06	5.97	26.219999	0	0.27	0	0	0	0.41	0	0	0.57	0	0	0	19.84	0.94	0.86	0.07	0.19	0.07	0.25	0	0
AKG7	UIR_2018_157	157	UIR	2018	0.06	0.06	0	0.01	0	0.01	0.01	0.52	0.01	14.23	0.46	0.02	0.37	0.02	0.01	0.01	0.01	0	0	8.9	0	0	0	0.36	0.04	0.01	0	0	0	0.02	0	0
AKG8	UIR_2018_187	187	UIR	2018	0.02	0.02	0	0.01	0	0.02	0.13	0.24	0	18.040001	6.35	0	0.34	0.01	0.01	0.02	0.06	0	0	3.65	0	0	0	0.27	0.13	0.07	0	0.05	0.01	0.05	0	0
AKG9	UIR_2018_217	217	UIR	2018	0.01	0.19	0	0	0	0.05	0.46	0.23	0.04	10.5	10.34	0.01	0.44	0	0.01	0.01	0.16	0	0	2.98	0	0	0	13.83	0.41	0.32	0.05	0.07	0.03	0.12	0.01	0
AKG27	UIR_2018_1	1	UIR	2018	0.12	0.04	0	0.01	0	0.01	0	0.2	0.23	15.06	0.01	0.01	0.12	1.36	0.01	0	0.01	0.02	0.05	4.29	0	0	0	0.01	0.01	0.01	0	0	0	0.01	0.04	0
AKG28	UIR_2018_3	3	UIR	2018	1.03	0.02	0.01	0.02	0	0.11	0	0.09	0.71	14.65	0.11	0.01	0.17	0.01	0.01	0	0.05	0.85	0.07	11.13	0.68	0.08	0	0.49	0.02	0.02	0.01	0	0	0.03	0.25	0
AKG29	UIR_2018_9	9	UIR	2018	0.05	0.01	0	0	0	0.02	0.01	0.56	0.1	14.59	0.04	2.32	0.11	0.01	0.01	0.01	0.02	0	0.02	9.56	0	0.01	0	0.33	0.05	0.08	0.01	0.19	0.01	0.21	0.02	0
AKG30	UIR_2018_17	17	UIR	2018	0.06	0.01	0	0	0	0.16	0.75	0.2	0.07	3.51	51.419998	0	0.09	0	0	0	0.36	0.01	0	0.82	0	0	0	3.71	0.82	1.55	0.13	1.81	0.08	0.49	0	0
AKG31	UIR_2018_27	27	UIR	2018	0.08	0.83	0	0.01	0	0.02	0.41	0.52	0.22	8.09	0.98	0.01	0.17	0.03	0.01	0	0.05	0.01	0	2.46	0	0	0	33.34	0.27	1.39	0.07	0.03	0.02	0.02	0	0
AKG32	UIR_2018_47	47	UIR	2018	0.04	0.01	0	0	0	0.17	1.14	0.13	0.09	1.44	70.730003	0	0.06	0.01	0.11	0	0.56	0	0	1.23	0	0	0	1.6	1.08	0.74	0.04	0.26	0.08	0.29	0.01	0
AKG33	UIR_2018_57	57	UIR	2018	0.03	0.01	0	0	0	0.13	0.85	0.17	0.01	6.49	44.599998	0.01	0.23	0	0.01	0	0.45	0	0	3.58	0	0	0	1.51	0.79	0.54	0.02	0.18	0.06	0.24	0.01	0
AKG34	UIR_2018_109	109	UIR	2018	0.12	0.05	0	0.01	0	0.01	0.04	0.51	0	14.19	1.6	0.02	0.33	0.02	0.01	0.03	0.02	0.01	0.01	7.63	0.01	0	0	0.8	0.1	0.03	0.01	0.01	0	0.11	0	0
AKG35	UIR_2018_167	167	UIR	2018	0.01	0	0	0	0	0.17	1.15	0.1	0.01	1.24	74.989998	0	0.06	0	0	0	0.6	0	0	1.06	0	0	0	1.54	1.04	0.77	0.03	0.25	0.09	0.32	0	0
AKG36	UIR_2018_227	227	UIR	2018	0.03	0.01	0	0	0	0.15	1.13	0.06	0.01	1.49	72.150002	0	0.06	0	0	0	0.57	0	0	0.15	0	0	0	3.55	0.98	0.81	0.04	0.24	0.09	0.34	0	0
AKG124	UIR_2019_1	1	UIR	2019	0.01	0	0	0	0	0.05	0.69	0.04	0.01	6.52	17.129999	0	0.12	0	0.01	0.01	0.1	0	0	1.5	0	0	0	34.610001	0.52	0.63	0.1	0.1	0.04	0.1	0	0
AKG125	UIR_2019_8	8	UIR	2019	0	0	0	0	0	0.14	1.07	0.01	0.01	1.23	66.620003	0	0.04	0	0	0.01	0.49	0	0	0.64	0	0	0	5.63	1.06	0.68	0.04	0.26	0.06	0.27	0	0
AKG126	UIR_2019_13	13	UIR	2019	0	0	0	0	0	0.07	0.77	0.06	0.01	4.54	38.5	0.01	0.16	0	0	0.02	0.23	0	0	2.16	0	0	0	17.59	0.65	0.53	0.05	0.18	0.04	0.19	0	0
AKG127	UIR_2019_27	27	UIR	2019	0	0	0	0	0	0.07	0.64	0.04	0.05	5.17	39.349998	0	1.46	0	0	0	0.17	0	0	1.15	0	0	0	14.08	0.5	0.62	0.07	0.15	0.03	0.17	0	0
AKG128	UIR_2019_38	38	UIR	2019	0.01	0	0	0	0	0.06	0.68	0.03	0.01	3.44	43.68	0.01	0.09	0	0	0	0.15	0	0	1.42	0	0	0	16.59	0.56	0.62	0.07	0.15	0.03	0.17	0	0
AKG129	UIR_2019_51	51	UIR	2019	0	0	0	0	0	0.04	0.56	0.02	0.01	4.48	37.220001	0	0.33	0	0	0.01	0.11	0	0	1.2	0	0	0	19.459999	0.45	0.65	0.08	0.15	0.04	0.19	0	0
AKG130	UIR_2019_65	65	UIR	2019	0	0	0	0	0	0.08	0.8	0.04	0.09	4.55	47.330002	0	0.23	0	0	0	0.25	0	0	1.2	0	0	0	11.5	0.64	0.68	0.07	0.19	0.06	0.22	0	0
AKG131	UIR_2019_77	77	UIR	2019	0	0	0	0	0	0.06	0.87	0.01	0.01	1.4	67.239998	0	0.53	0	0	0.01	0.22	0	0	0.6	0	0	0	3.87	0.57	0.83	0.07	0.22	0.07	0.29	0	0
AKG132	UIR_2019_92	92	UIR	2019	0	0	0	0	0	0.06	0.85	0.01	0.01	1.73	63.689999	0	0.05	0	0	0	0.21	0	0	1.59	0	0	0	6.94	0.56	0.76	0.06	0.22	0.06	0.26	0	0
AKG133	UIR_2019_107	107	UIR	2019	0	0	0	0	0	0.08	0.81	0.13	0.08	5.77	45.32	0	0.91	0	0	0	0.26	0	0	0.49	0	0	0	3.57	0.61	0.82	0.07	0.23	0.08	0.31	0	0
AKG134	UIR_2019_119	119	UIR	2019	0.01	0	0	0	0	0.12	1.03	0.02	0.02	1.63	51.66	0	0.08	0	0	0	0.37	0	0	0.68	0	0	0	18.35	0.97	0.88	0.08	0.25	0.08	0.32	0	0
AKG135	UIR_2019_134	134	UIR	2019	0	0	0	0	0	0.17	1.29	0.01	0.01	0.54	66.949997	0	0.05	0	0	0	0.6	0	0	0.39	0	0	0	5.27	1.29	0.87	0.05	0.31	0.09	0.33	0	0
AKG136	UIR_2019_150	150	UIR	2019	0	0	0	0	0	0.11	0.99	0.03	0.01	4.35	44.860001	0	0.1	0	0	0.01	0.37	0	0	1.36	0	0	0	13.03	0.98	0.71	0.06	0.24	0.07	0.28	0	0
AKG137	UIR_2019_163	163	UIR	2019	0	0	0	0	0	0.15	1.19	0.01	0.01	1.42	56.84	0	0.04	0	0	0	0.44	0	0	1.31	0	0	0	10.03	1.18	0.66	0.05	0.26	0.06	0.26	0	0
AKG138	UIR_2019_174	174	UIR	2019	0	0	0	0	0	0.18	1.41	0.02	0	1.49	66.57	0	0.09	0	0	0	0.69	0	0	0.84	0	0	0	3.43	1.4	0.92	0.05	0.38	0.1	0.38	0	0
AKG10	UCP_2018_7	7	UCP	2018	0.06	0.01	0	0	0	0.03	0.63	0.12	0.04	1.75	57.119999	0	0.07	0	0	0.01	0.06	0.01	0	1.11	0	0	0	3.61	0.27	1.42	0.15	0.31	0.09	8.84	0	0
AKG11	UCP_2018_21	21	UCP	2018	0.01	0.01	0	0	0	0.09	0.57	0.11	0.03	2.55	45.099998	0.01	0.08	0.01	0	0	0.22	0.01	0.01	0.7	0	0	0	13.89	0.42	1.26	0.18	0.31	0.1	1.72	0	0
AKG12	UCP_2018_37	37	UCP	2018	0.01	0.09	0	0	0	0.12	1.18	0.11	0.04	2.49	42.240002	0	0.09	0	0	0	0.4	0.01	0.15	2.53	0	0.12	0	16.91	1	1.22	0.14	0.62	0.07	0.29	0	0.24
AKG13	UCP_2018_67	67	UCP	2018	0.01	0.25	0	0	0	0.02	0.12	0.22	0.01	15.94	8	0.01	0.17	0.01	0.01	0	0.06	0.06	0.04	6.44	0	0.03	0	1.6	0.15	0.19	0.03	0.06	0.04	0.11	0.01	0
AKG14	UCP_2018_97	97	UCP	2018	0.01	0.12	0	0.01	0	0.14	0.79	0.14	0.19	0.68	30.940001	0.01	0.14	0	0	0	0.28	0.01	0.01	0.65	0	0	0	3.77	0.9	2.98	0.76	0.78	1.1	1.29	0.03	0
AKG15	UCP_2018_127	127	UCP	2018	0.02	0.26	0	0.01	0	0.04	0.15	0.27	0.08	7.8	8.22	0.02	0.18	0.01	0.02	0.01	0.06	0.04	0.02	6.52	0	0	0.01	5.15	0.19	0.46	0.22	0.05	0.16	0.53	0	0
AKG16	UCP_2018_157	157	UCP	2018	0.01	0.14	0	0.04	0.51	0.11	0.64	0.2	0.19	2.94	33.150002	0.01	0.14	0	0	0.01	0.3	0.02	0.04	2.19	0	0.01	0	14.91	0.67	1.54	0.25	0.28	0.26	0.42	0.16	0.71
AKG17	UCP_2018_187	187	UCP	2018	0.01	0.21	0	0	0	0.09	0.61	0.09	0.05	0.88	41.459999	0.01	0.09	0	0	0.01	0.26	0.01	0	0.33	0	0	0	20.450001	0.57	1.03	0.15	0.2	0.08	0.26	0	0
AKG18	UCP_2018_201	201	UCP	2018	0.01	0.06	0	0.01	0.01	0.1	0.73	0.1	0.04	3.4	26.77	0	0.13	0	0	0	0.26	0	0	2.36	0	0	1.12	20.360001	0.63	6.48	0.33	0.23	0.24	0.4	0	0.32
AKG37	UCP_2018_1	1	UCP	2018	0.02	0.01	0	0	0	0.01	0.3	0.14	0.03	5.96	37.759998	0	0.11	0	0	0	0.01	0.01	0.01	1.21	0	0	0	16.860001	0.13	0.54	0.05	0.07	0.02	0.48	0	0
AKG38	UCP_2018_9	9	UCP	2018	0.04	0.02	0	0	0	0.07	0.65	0.18	0.04	3.42	49.049999	0.01	0.07	0.01	0	0	0.18	0.01	0	1	0	0	0	4.74	0.47	1.78	0.19	0.44	0.16	5.42	0	0
AKG39	UCP_2018_27	27	UCP	2018	0.22	0.05	0	4.4	8.84	0.03	0.24	0.69	0.04	1.71	11.06	0.04	0.11	0.04	0.01	0	0.07	0.01	0	0.47	0	0	0	4.52	0.31	0.87	0.11	0.14	0.11	0.55	0	0
AKG40	UCP_2018_47	47	UCP	2018	0.73	0.06	0	0	0	0.11	0.8	0.18	0.08	0.93	26.690001	0.02	0.06	0	0	0	0.27	0.01	0	0.7	0	0	0	25.26	0.66	1.52	0.32	0.72	0.17	0.63	0	0
AKG41	UCP_2018_57	57	UCP	2018	0.08	0.03	0	0	0	0.12	0.79	0.28	0.09	0.68	45.66	0.02	0.08	0.02	0	0	0.36	0.01	0.01	0.04	0	0	0	8.53	0.69	1.2	0.26	0.31	0.23	0.5	0	0
AKG42	UCP_2018_77	77	UCP	2018	0.03	0.01	0	0	0	0.04	0.21	0.21	0.02	9.64	15.97	0.01	0.16	0.01	0.01	0.01	0.11	0.01	0.38	13.33	0	0.05	0	3.15	0.29	0.38	0.07	0.09	0.06	0.21	0.01	0.01
AKG43	UCP_2018_87	87	UCP	2018	0.14	0.05	0	0	0	0.03	0.23	0.4	0.01	9.66	14.31	0.01	0.16	0.02	0.01	0.01	0.07	0.01	0.06	7.08	0	0	0	7.14	0.26	0.31	0.05	0.08	0.03	0.13	0	0
AKG44	UCP_2018_109	109	UCP	2018	0.08	0.02	0	0	0	0.02	0.18	1.29	0.01	11.29	10.86	0.01	0.14	0.01	0.01	0.01	0.06	0.01	0.01	12.31	0	0	0	2.14	0.21	0.18	0.02	0.06	0.02	0.08	0	0.01
AKG45	UCP_2018_147	147	UCP	2018	0.31	0.07	0	0	0	0.04	0.32	0.62	0.02	5.7	15.38	0.02	0.12	0.03	0.54	0.01	0.09	0.01	0	5.61	0	0	0	23.98	0.31	0.58	0.07	0.08	0.01	0.08	0	0
AKG46	UCP_2018_167	167	UCP	2018	0	0.01	0	0	0	0.12	0.82	0.08	0.03	2.66	49.639999	0.1	0.09	0	0	0	0.37	0.01	0	1.46	0	0	0	14.22	0.68	1.03	0.12	0.26	0.04	0.24	0	0
AKG47	UCP_2018_197	197	UCP	2018	1.87	0.05	0	0.1	0.11	0.09	0.51	0.11	0.04	4.5	19.35	0.02	0.05	0	0	0	0.2	0.01	0	1.61	0	0	0.06	13.72	1.06	8.78	0.29	0.21	0.2	0.3	0.05	0.01
AKG48	UCP_2018_203	203	UCP	2018	0.03	0	0.06	0	0.04	0.08	0.54	0.12	0.02	9.55	35.759998	0.13	0.15	0	0	0	0.26	0	0	4.74	0	0	0.02	2.52	0.51	1.22	0.08	0.18	0.06	0.21	0.06	0.01
AKG139	UCP_2019_1	1	UCP	2019	0.02	0	0	0	0	0.01	0.04	0.19	0	18.040001	0.21	0	0.33	0	0.01	0.01	0.01	0	0.01	10.19	0	0	0	0.06	0.02	0.75	0.12	0.01	0.01	1.81	0	0
AKG140	UCP_2019_5	5	UCP	2019	0.05	0	0	0	0	0.04	0.4	0.09	0.04	4.28	24.120001	0.01	0.15	0.01	0.01	0.01	0.05	0	0.06	3.37	0	0	4.86	0.42	0.34	12.8	0.57	0.16	0.18	4.94	0.1	0
AKG141	UCP_2019_13	13	UCP	2019	0	0	0	0	0	0.14	0.93	0.12	0.16	1.34	17.25	0.01	0.11	0	0	0	0.19	0.01	0.01	1.85	0	0	0.04	1.2	2.16	3.04	0.76	1.21	0.96	1.96	0	0
AKG142	UCP_2019_28	28	UCP	2019	0	0	0	0	0	0.08	0.37	0.12	0.05	10.45	7.25	0	0.2	0	0.01	0	0.11	0	0	7.18	0	0	0.33	9.58	0.35	2.6	0.36	0.07	0.29	0.6	0	0.5
AKG143	UCP_2019_40	40	UCP	2019	0	0	0	0	0	0.07	0.68	0.02	0.04	0.72	43.389999	0.01	0.08	0	0	0	0.19	0.01	0	1.17	0	0	0	21.950001	0.43	1.09	0.22	0.25	0.15	0.47	0	0.07
AKG144	UCP_2019_54	54	UCP	2019	0	0	0	0	0	0.06	0.46	0.04	0.03	3.04	28.059999	0.02	0.17	0	0	0	0.29	0.02	0	3.44	0	0	0	22.110001	0.49	0.89	0.1	0.16	0.05	0.21	0	0.5
AKG145	UCP_2019_67	67	UCP	2019	0	0	0	0.23	0	0.01	0.03	0.1	0	17.01	1.37	0	0.2	0	0.01	0	0.01	0.01	0	7.22	0	0	0	0.8	0.02	0.04	0.01	0.01	0	0.02	0	0
AKG146	UCP_2019_81	81	UCP	2019	0.01	0	0	0	0	0.05	0.47	0.14	0.06	4.67	2.17	0	0.18	0	0	0.01	0.04	0	0.26	4.71	0.01	0.01	0	45.639999	0.35	0.88	0.13	0.06	0.03	0.07	0.01	0.03
AKG147	UCP_2019_95	95	UCP	2019	0	0	0	0	0	0.04	0.26	0.09	0.02	10.16	13.39	0	0.19	0	0	0.01	0.11	0	0.08	9.01	0	0	0	12.69	0.29	0.38	0.05	0.09	0.02	0.08	0	0.02
AKG148	UCP_2019_109	109	UCP	2019	0	0	0	0	0	0.02	0.26	0.11	0.01	10.71	8.65	0.02	0.18	0	0.01	0.01	0.09	0	0.02	3.68	0	0.01	0	14.58	0.26	0.42	0.03	0.13	0.01	0.06	0	0
AKG149	UCP_2019_123	123	UCP	2019	0	0	0	0	0	0.05	0.38	0.08	0.08	5.42	27.639999	0.02	0.16	0	0.01	0.02	0.29	0.01	10.58	2.4	0	0.61	0	9.82	0.36	0.51	0.04	0.16	0.02	0.09	0.06	0.01
AKG150	UCP_2019_137	137	UCP	2019	0.01	0	0	0	0	0.06	0.37	0.11	0.02	9.11	15.53	0.01	0.26	0	0.01	0.02	0.17	0	0.08	5.5	0	0	0	13.64	0.4	0.72	0.08	0.17	0.04	0.15	0	0
AKG151	UCP_2019_151	151	UCP	2019	0	0	0	0	0	0.06	0.42	0.16	0.02	8.5	19.129999	0.01	1.95	0.02	0.01	0.01	0.28	0	0	4.49	0	0	0	16.18	0.42	0.59	0.05	0.2	0.03	0.11	0	0
AKG152	UCP_2019_172	172	UCP	2019	0.2	0	0.63	0.01	0	0.03	0.33	0.1	0.22	1.85	4.48	0.01	0.49	0.01	0.01	2.52	0.1	0.01	0.34	15.05	0.01	0.03	0	37.540001	0.59	0.93	0.1	0.24	0.02	0.08	0.11	0.01
AKG153	UCP_2019_184	184	UCP	2019	0.01	0	0	0	0	0	0.02	0.1	0	18.469999	1.35	0.01	0.29	0	0.01	0.01	0.01	0.01	0	10.49	0	0	0	1.25	0.02	0.04	0	0.01	0	0.01	0	0
