day_sampling	vat	yeast_viability	budding_rate	budding_viability	floc	temp	rods
1	D-2	99.4	0.3	50	0	NA	11000000
1	D-3	99.4	1.5	83.3	0	NA	10000000
1	D-5	98.8	2.8	90	0	NA	12000000
1	D-6	99.5	4.2	94.1	0	NA	14000000
3	D-2	99.7	5.5	95.4	0	NA	3400000
3	D-5	99.6	11.1	96.8	0	NA	3900000
3	D-7	99.6	7.3	95.6	0	NA	3400000
3	D-8	99.3	12.5	95	0	NA	3900000
7	D-7	99	10	95.4	0	33.1	1700000
7	D-8	99.1	8.1	95	0	32.1	1700000
7	D-2	99.2	9.2	92.5	0	32	6200000
7	D-3	99	7.3	92	0	32	7900000
9	D-8	99.1	9	96.7	0	34	4000000
9	D-9	98.7	8.4	96.9	0	33.9	5100000
9	D-2	98.2	13	95.5	0	32	2800000
9	D-3	97	7.7	92.6	0	32.6	2300000
9	D-5	99.8	7	96.7	0	33	2800000
17	D-3/25	77.6	14.6	79.5	20	33.2	43000000
17	D-5/25	80	18.4	78.1	10	34	34000000
17	D-6/25	78.3	19.3	84	5	33.2	26000000
17	D-7/25	78.7	18.9	76.6	10	33	54000000
21	D-2/32	59.5	9.4	40	35	35	60000000
21	D-3/32	71	14.1	66.7	20	33.5	51000000
21	D-5/32	73.4	11.4	57.1	5	33.5	31000000
21	D-6/32	71.3	23	80.4	5	32	28000000
21	D-7/32	64.5	7.9	47.7	5	32	26000000
27	D-9/43	75.8	13.2	68.6	0	32.9	1100000
27	D-2/44	77	2.6	35.3	0	34	1700000
27	D-2/44	83.1	4.8	44	0	33.3	1700000
27	D-3/44	73.6	15.3	84.6	0	34	1700000
27	D-5/44	71.6	19.2	72.9	0	33	1700000
37	D-6/63	66.7	7	57.1	0	33.2	1100000
37	D-7/63	73.2	7.8	60.6	0	33.5	2300000
37	D-8/63	72.8	12.1	65.3	2	33	1700000
37	D-9/63	74.2	16.9	68.5	0	35	1700000
47	D-3/81	60.1	7.1	45.1	20	37.2	14000000
47	D-5/81	61.6	12	55	30	35.6	17000000
47	D-6/81	60.1	22.2	64.5	30	35	16000000
47	D-7/81	64.2	7.8	40.9	20	35	15000000
57	D-5/96	69.9	8.5	56.8	0	33.5	1700000
57	D-6/96	71.5	10.8	67.3	0	32.8	1700000
57	D-7/96	73.6	12.5	67.2	0	32.5	1100000
57	D-8/96	70.8	8	68.5	0	33	1100000
67	D-6/111	55.6	7.5	40.5	30	34	26000000
67	D-7/111	62.6	9.9	53.3	40	34.4	31000000
67	D-8/111	68.2	15.4	64.2	20	33.2	14000000
67	D-9/111	68.1	6.9	38.7	20	34.6	12000000
97	D-9/161	75.3	8.7	69.2	0	33.7	8.10E+05
97	D-2/161	69.3	10.7	69.4	0	35.6	8.10E+05
97	D-1/161	70.3	12.5	76.7	0	32.4	8.10E+05
109	D-7/181	78	10.7	71.4	0	32.1	1.10E+06
109	D-8/181	75.5	10	72	0	31.9	2.80E+06
109	D-9/181	76.1	14	74.4	0	31.6	1.10E+06
109	D-2/182	73.7	12.2	76	0	32.5	1.10E+06
127	NA	NA	NA	NA	NA	NA	NA
157	D-9/251	57.6	11.4	57.6	0	33	8.10E+05
157	D-2/252	55.4	11.9	61.4	0	34	8.10E+05
157	D-3/252	52.4	13.2	58.7	0	33.6	8.10E+05
157	D-5/252	57.9	11.5	54.5	0	33	8.10E+05
167	D-6/268	63.6	12.6	78	0	33	5.70E+06
167	D-7/268	62.7	11.9	73.2	0	33.5	6.20E+06
167	D-8/268	62.5	13.3	77.5	0	32.8	3.90E+06
187	D-6/294	71.2	13.1	75	0	35.6	1.10E+06
187	D-7/291	70.8	14	81.6	0	33.1	2.30E+06
187	D-8/291	72.5	12.6	74	0	34.8	4.00E+06
217	D-9/327	68.9	13.3	64	50	32.2	8.00E+06
217	D-2/328	70.6	16.1	65.8	20	32.8	4.60E+06
227	D-6/343	65.3	11.4	63.9	40	36	1.80E+07
227	D-7/343	67.8	16.7	68.5	50	34.6	2.60E+07
227	D-8/343	69.3	14.3	75	30	33.9	1.70E+07
