year	month	day	date	day_count	solids_must	art_must	art_wine	brix_must	kacidity	kart	kglycerol	gl_vat	ph_must	ph_wine	out	yield	temperature
2018	4	18	18/4/18	-14	0.39	30.73	1.33	36.77	0.001	0.241	NA	6.99	5.69	4.8	97579	308.52	NA
2018	4	25	25/4/18	-7	0.21	16.22	0.86	20.55	0.024	0.157	0.066	7.21	5.87	4.94	1070075	72.41	32.41
2018	5	2	2/5/18	0	0.24	21.76	1.16	28.1	0.045	0.148	0.061	9.81	5.76	4.85	2387580	93.48	34.36
2018	5	9	9/5/18	7	0.29	21.32	0.59	27.33	0.049	0.073	0.054	10.12	5.75	4.67	3423368	91.60	33.51
2018	5	16	16/5/18	14	0.57	19.63	0.89	25.15	0.013	0.116	0.055	9.84	5.35	4.91	3972860	85.45	33.05
2018	5	23	23/5/18	21	0.63	18.93	0.74	24.22	0.01	0.104	0.04	9.15	5.28	4.86	3136230	83.60	31.92
2018	5	30	30/5/18	28	0.54	19.14	0.69	24.69	0.003	0.102	0.046	9.4	5.23	4.93	2555392	78.90	32.6
2018	6	6	6/6/18	35	0.77	17.12	0.53	21.29	0.004	0.084	0.044	8.24	5.08	4.81	2906526	88.78	32.74
2018	6	13	13/6/18	42	0.89	17.32	0.55	22.47	0.01	0.079	0.046	8.91	5.23	4.79	3320135	91.44	33.04
2018	6	20	20/6/18	49	0.88	17.73	0.61	23.66	0.001	0.087	0.052	8.91	5.03	4.84	3774640	89.59	32.18
2018	6	27	27/6/18	56	0.71	18.81	0.54	25.01	0.054	0.075	0.025	9.18	5.08	4.59	4201055	91.16	31.93
2018	7	4	4/7/18	63	0.51	19.2	0.68	24.66	0.079	0.106	0.018	8.2	5.8	4.57	3346851	79.54	32.33
2018	7	11	11/7/18	70	0.42	18.57	0.51	23.9	0.02	0.079	0.042	8.24	5.64	4.8	4215490	84.80	31.83
2018	7	18	18/7/18	77	0.48	18.69	0.72	23.73	0.01	0.105	0.05	8.74	5.59	4.84	4099499	82.91	32.16
2018	7	25	25/7/18	84	0.35	19.08	0.73	24.3	0.01	0.102	0.052	9.07	5.57	4.81	3712516	86.39	32.22
2018	8	1	1/8/18	91	0.31	18.61	0.71	23.62	0.01	0.096	0.053	9.4	5.57	4.71	4151881	90.87	32.09
2018	8	8	8/8/18	98	0.24	16.78	0.38	20.75	0.01	0.061	0.055	8.23	5.5	4.44	2481830	90.20	32.04
2018	8	15	15/8/18	105	0.41	16.92	0.72	20.84	0.036	0.118	0.036	7.61	5.26	4.53	2278845	88.05	32.8
2018	8	22	22/8/18	112	0.65	17.84	0.62	23.72	0.002	0.093	0.048	8.48	5.36	4.86	3037198	85.48	32.64
2018	8	29	29/8/18	119	0.41	18.91	0.42	24.05	0.032	0.063	0.053	8.39	5.81	5	4072974	80.05	32.98
2018	9	5	5/9/18	126	0.55	19.87	0.53	25.91	0.03	0.075	0.039	9.01	5.76	4.82	3798022	83.84	32.63
2018	9	12	12/9/18	133	0.55	18.68	0.54	24.46	0.011	0.081	0.043	8.43	5.71	4.83	3984390	85.03	33.12
2018	9	19	19/9/18	140	0.76	18.67	0.45	23.04	0.008	0.066	0.041	8.74	5.37	4.75	3162011	80.55	33.34
2018	9	26	26/9/18	147	0.43	17.96	0.39	22.21	0.024	0.066	0.041	7.38	5.43	4.71	2249411	78.83	33.12
2018	10	3	3/10/18	154	0.39	19.16	0.62	24.14	0.007	0.091	0.037	8.54	5.53	4.77	3158356	81.86	33.63
2018	10	10	10/10/18	161	0.39	18.88	0.58	23.49	0.021	0.087	0.047	8.77	5.45	4.6	2899557	81.19	33.35
2018	10	17	17/10/18	168	0.7	17.39	0.33	20.82	0.007	0.054	0.038	7.77	5.25	4.67	2067817	85.19	33.37
2018	10	24	24/10/18	175	0.53	18.01	0.42	22.6	0.032	0.071	0.047	7.82	5.6	4.6	3083208	86.68	32.62
2018	10	31	31/10/18	182	0.35	16.28	0.4	20.77	0.018	0.065	0.032	7.08	5.35	4.59	1904551	88.00	32.94
2018	11	7	7/11/18	189	0.36	17.24	0.36	22.91	0.033	0.057	0.035	8.05	5.64	4.81	3368277	88.88	33.52
2018	11	14	14/11/18	196	0.33	18.49	0.28	24.23	0.025	0.041	0.043	8.6	5.88	4.78	3059714	89.75	33.28
2018	11	21	21/11/18	203	0.29	18.12	0.48	23.41	0.051	0.07	0.025	8.77	5.61	4.75	2763310	90.14	33.19
2018	11	28	28/11/18	210	0.38	17.09	0.49	21.83	0.013	0.082	0.036	7.15	5.57	4.83	1919714	78.37	33.06
2018	12	5	5/12/18	217	0.42	18.37	0.42	23.76	0.017	0.067	0.028	7.97	5.64	4.78	2580706	87.85	32.93
2018	12	12	12/12/18	224	0.32	17.75	0.42	23.1	0.014	0.065	0.04	8.16	5.74	4.89	3062559	90.91	32.73
2018	12	19	19/12/18	231	0.31	17.68	0.42	22.51	0.009	0.07	0.043	7.6	5.74	4.83	2492638	83.44	32.67
2018	12	26	26/12/18	238	0.44	16.95	0.29	20.26	0.018	0.049	0.043	7.04	5.34	4.48	2177675	84.26	33.62
