day_sampling	vat	operation_time	yield_byproduct	yield_redox	atr	production
1	D-2	65.63	90.2	32.59	107.79	139
1	D-3	65.63	90.2	32.59	107.79	139
1	D-5	65.63	90.2	32.59	107.79	139
1	D-6	65.63	90.2	32.59	107.79	139
3	D-2	65.25	94.05	92.23	109.53	2444
3	D-5	65.25	94.05	92.23	109.53	2444
3	D-7	65.25	94.05	92.23	109.53	2444
3	D-8	65.25	94.05	92.23	109.53	2444
7	D-7	65.25	94.05	92.23	109.53	2444
7	D-8	65.25	94.05	92.23	109.53	2444
7	D-2	65.25	94.05	92.23	109.53	2444
7	D-3	65.25	94.05	92.23	109.53	2444
9	D-8	100	94.09	84.61	112.91	6154
9	D-9	100	94.09	84.61	112.91	6154
9	D-2	100	94.09	84.61	112.91	6154
9	D-3	100	94.09	84.61	112.91	6154
9	D-5	100	94.09	84.61	112.91	6154
17	D-3/25	100	92.17	85.21	119.77	5812
17	D-5/25	100	92.17	85.21	119.77	5812
17	D-6/25	100	92.17	85.21	119.77	5812
17	D-7/25	100	92.17	85.21	119.77	5812
21	D-2/32	100	92.17	85.21	119.77	5812
21	D-3/32	100	92.17	85.21	119.77	5812
21	D-5/32	100	92.17	85.21	119.77	5812
21	D-6/32	100	92.17	85.21	119.77	5812
21	D-7/32	100	92.17	85.21	119.77	5812
27	D-9/43	100	92.93	84.92	121.11	6873
27	D-2/44	100	92.93	84.92	121.11	6873
27	D-2/44	100	92.93	84.92	121.11	6873
27	D-3/44	100	92.93	84.92	121.11	6873
27	D-5/44	100	92.93	84.92	121.11	6873
37	D-6/63	97.52	93.6	87.86	126.53	6785
37	D-7/63	97.52	93.6	87.86	126.53	6785
37	D-8/63	97.52	93.6	87.86	126.53	6785
37	D-9/63	97.52	93.6	87.86	126.53	6785
47	D-3/81	74.67	91.35	85.21	125.94	5319
47	D-5/81	74.67	91.35	85.21	125.94	5319
47	D-6/81	74.67	91.35	85.21	125.94	5319
47	D-7/81	74.67	91.35	85.21	125.94	5319
57	D-5/96	99.76	90.81	87.85	130	5643
57	D-6/96	99.76	90.81	87.85	130	5643
57	D-7/96	99.76	90.81	87.85	130	5643
57	D-8/96	99.76	90.81	87.85	130	5643
67	D-6/111	93.43	91.1	87.02	129.62	5625
67	D-7/111	93.43	91.1	87.02	129.62	5625
67	D-8/111	93.43	91.1	87.02	129.62	5625
67	D-9/111	93.43	91.1	87.02	129.62	5625
97	D-9/161	99.7	9.00E+01	8.30E+01	1.45E+02	5954
97	D-2/161	99.7	9.00E+01	8.30E+01	1.45E+02	5954
97	D-1/161	99.7	9.00E+01	8.30E+01	1.45E+02	5954
109	D-7/181	96.95	9.11E+01	8.65E+01	1.46E+02	6658
109	D-8/181	96.95	9.11E+01	8.65E+01	1.46E+02	6658
109	D-9/181	96.95	9.11E+01	8.65E+01	1.46E+02	6658
109	D-2/182	96.95	9.11E+01	8.65E+01	1.46E+02	6658
127	NA	44.98	89.87	96.05	145.55	3045
157	D-9/251	98.57	9.12E+01	8.54E+01	1.44E+02	5930
157	D-2/252	98.57	9.12E+01	8.54E+01	1.44E+02	5930
157	D-3/252	98.57	9.12E+01	8.54E+01	1.44E+02	5930
157	D-5/252	98.57	9.12E+01	8.54E+01	1.44E+02	5930
167	D-6/268	76.18	9.17E+01	8.97E+01	1.43E+02	4776
167	D-7/268	76.18	9.17E+01	8.97E+01	1.43E+02	4776
167	D-8/268	76.18	9.17E+01	8.97E+01	1.43E+02	4776
187	D-6/294	86.77	8.93E+01	9.00E+01	1.37E+02	4166
187	D-7/291	86.77	8.93E+01	9.00E+01	1.37E+02	4166
187	D-8/291	86.77	8.93E+01	9.00E+01	1.37E+02	4166
217	D-9/327	82.24	8.85E+01	8.90E+01	1.26E+02	3130
217	D-2/328	82.24	8.85E+01	8.90E+01	1.26E+02	3130
227	D-6/343	98.96	9.08E+01	1.02E+02	1.27E+02	4098
227	D-7/343	98.96	9.08E+01	1.02E+02	1.27E+02	4098
227	D-8/343	98.96	9.08E+01	1.02E+02	1.27E+02	4098
